Time (CET/CEST),Day-ahead Total Load Forecast [MW],Actual Total Load [MW]
04.01.2015 07:45 - 04.01.2015 08:00,44659,49169
04.01.2015 08:00 - 04.01.2015 08:15,45521,49942
04.01.2015 08:15 - 04.01.2015 08:30,46181,50575
04.01.2015 08:30 - 04.01.2015 08:45,47123,51260
04.01.2015 08:45 - 04.01.2015 09:00,47996,51887
04.01.2015 09:00 - 04.01.2015 09:15,49520,52818
04.01.2015 09:15 - 04.01.2015 09:30,50410,53757
04.01.2015 09:30 - 04.01.2015 09:45,50973,54540
04.01.2015 09:45 - 04.01.2015 10:00,51646,55481
04.01.2015 10:00 - 04.01.2015 10:15,52284,56395
04.01.2015 10:15 - 04.01.2015 10:30,52763,57292
04.01.2015 10:30 - 04.01.2015 10:45,53329,58063
04.01.2015 10:45 - 04.01.2015 11:00,53785,58802
04.01.2015 11:00 - 04.01.2015 11:15,54671,59566
04.01.2015 11:15 - 04.01.2015 11:30,55450,60725
04.01.2015 11:30 - 04.01.2015 11:45,55957,61464
04.01.2015 11:45 - 04.01.2015 12:00,56108,61487
04.01.2015 12:00 - 04.01.2015 12:15,56262,61384
04.01.2015 12:15 - 04.01.2015 12:30,55985,61241
04.01.2015 12:30 - 04.01.2015 12:45,55659,60960
04.01.2015 12:45 - 04.01.2015 13:00,55183,60465
04.01.2015 13:00 - 04.01.2015 13:15,54665,60209
04.01.2015 13:15 - 04.01.2015 13:30,54338,59549
04.01.2015 13:30 - 04.01.2015 13:45,53844,59358
04.01.2015 13:45 - 04.01.2015 14:00,53486,58730
04.01.2015 14:00 - 04.01.2015 14:15,53207,58463
04.01.2015 14:15 - 04.01.2015 14:30,52590,57775
04.01.2015 14:30 - 04.01.2015 14:45,52275,57384
04.01.2015 14:45 - 04.01.2015 15:00,52181,57240
04.01.2015 15:00 - 04.01.2015 15:15,52296,57300
04.01.2015 15:15 - 04.01.2015 15:30,52289,56991
04.01.2015 15:30 - 04.01.2015 15:45,52153,56959
04.01.2015 15:45 - 04.01.2015 16:00,52455,57169
04.01.2015 16:00 - 04.01.2015 16:15,52749,57819
04.01.2015 16:15 - 04.01.2015 16:30,53282,58576
04.01.2015 16:30 - 04.01.2015 16:45,54017,59606
04.01.2015 16:45 - 04.01.2015 17:00,55204,60900
04.01.2015 17:00 - 04.01.2015 17:15,56630,62439
04.01.2015 17:15 - 04.01.2015 17:30,57814,63209
04.01.2015 17:30 - 04.01.2015 17:45,58266,63698
04.01.2015 17:45 - 04.01.2015 18:00,58517,64084
04.01.2015 18:00 - 04.01.2015 18:15,59086,64521
04.01.2015 18:15 - 04.01.2015 18:30,59337,64363
04.01.2015 18:30 - 04.01.2015 18:45,59322,64328
04.01.2015 18:45 - 04.01.2015 19:00,59104,64154
04.01.2015 19:00 - 04.01.2015 19:15,58842,63527
04.01.2015 19:15 - 04.01.2015 19:30,58230,63026
04.01.2015 19:30 - 04.01.2015 19:45,57780,63076
04.01.2015 19:45 - 04.01.2015 20:00,56911,62651
04.01.2015 20:00 - 04.01.2015 20:15,56110,61794
04.01.2015 20:15 - 04.01.2015 20:30,55280,60831
04.01.2015 20:30 - 04.01.2015 20:45,54567,60005
04.01.2015 20:45 - 04.01.2015 21:00,53908,59521
04.01.2015 21:00 - 04.01.2015 21:15,53879,58885
04.01.2015 21:15 - 04.01.2015 21:30,53533,58739
04.01.2015 21:30 - 04.01.2015 21:45,53543,58552
04.01.2015 21:45 - 04.01.2015 22:00,53751,58589
04.01.2015 22:00 - 04.01.2015 22:15,54551,59520
04.01.2015 22:15 - 04.01.2015 22:30,54585,59227
04.01.2015 22:30 - 04.01.2015 22:45,53914,59241
04.01.2015 22:45 - 04.01.2015 23:00,52960,58095
04.01.2015 23:00 - 04.01.2015 23:15,52297,57066
04.01.2015 23:15 - 04.01.2015 23:30,51931,56234
04.01.2015 23:30 - 04.01.2015 23:45,51453,55657
04.01.2015 23:45 - 05.01.2015 00:00,50585,54838
05.01.2015 00:00 - 05.01.2015 00:15,51003,54675
05.01.2015 00:15 - 05.01.2015 00:30,50480,53903
05.01.2015 00:30 - 05.01.2015 00:45,50145,53260
05.01.2015 00:45 - 05.01.2015 01:00,49678,52618
05.01.2015 01:00 - 05.01.2015 01:15,49198,52016
05.01.2015 01:15 - 05.01.2015 01:30,48671,51346
05.01.2015 01:30 - 05.01.2015 01:45,48291,51113
05.01.2015 01:45 - 05.01.2015 02:00,48238,50996
05.01.2015 02:00 - 05.01.2015 02:15,47612,50736
05.01.2015 02:15 - 05.01.2015 02:30,47382,50429
05.01.2015 02:30 - 05.01.2015 02:45,47282,50128
05.01.2015 02:45 - 05.01.2015 03:00,47180,50185
05.01.2015 03:00 - 05.01.2015 03:15,47273,49992
05.01.2015 03:15 - 05.01.2015 03:30,47196,50092
05.01.2015 03:30 - 05.01.2015 03:45,47311,50202
05.01.2015 03:45 - 05.01.2015 04:00,47389,50400
05.01.2015 04:00 - 05.01.2015 04:15,47782,50669
05.01.2015 04:15 - 05.01.2015 04:30,48105,50906
05.01.2015 04:30 - 05.01.2015 04:45,48530,51577
05.01.2015 04:45 - 05.01.2015 05:00,49064,52421
05.01.2015 05:00 - 05.01.2015 05:15,49714,53716
05.01.2015 05:15 - 05.01.2015 05:30,50698,54524
05.01.2015 05:30 - 05.01.2015 05:45,51544,55421
05.01.2015 05:45 - 05.01.2015 06:00,52486,56890
05.01.2015 06:00 - 05.01.2015 06:15,54481,58555
05.01.2015 06:15 - 05.01.2015 06:30,56543,60593
05.01.2015 06:30 - 05.01.2015 06:45,57889,62334
05.01.2015 06:45 - 05.01.2015 07:00,59256,63898
