"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - BZN|DE-LU","Actual Total Load [MW] - BZN|DE-LU"
"13.01.2019 18:00 - 13.01.2019 18:15","60613","63159"
"13.01.2019 18:15 - 13.01.2019 18:30","60878","62857"
"13.01.2019 18:30 - 13.01.2019 18:45","60714","62745"
"13.01.2019 18:45 - 13.01.2019 19:00","59984","62425"
"13.01.2019 19:00 - 13.01.2019 19:15","59853","62018"
"13.01.2019 19:15 - 13.01.2019 19:30","59395","61456"
"13.01.2019 19:30 - 13.01.2019 19:45","59319","61036"
"13.01.2019 19:45 - 13.01.2019 20:00","58156","60514"
"13.01.2019 20:00 - 13.01.2019 20:15","57823","59606"
"13.01.2019 20:15 - 13.01.2019 20:30","57159","58641"
"13.01.2019 20:30 - 13.01.2019 20:45","56157","57985"
"13.01.2019 20:45 - 13.01.2019 21:00","55948","57523"
"13.01.2019 21:00 - 13.01.2019 21:15","55230","57371"
"13.01.2019 21:15 - 13.01.2019 21:30","54971","56984"
"13.01.2019 21:30 - 13.01.2019 21:45","55315","56686"
"13.01.2019 21:45 - 13.01.2019 22:00","55213","56695"
"13.01.2019 22:00 - 13.01.2019 22:15","56028","57399"
"13.01.2019 22:15 - 13.01.2019 22:30","54988","56916"
"13.01.2019 22:30 - 13.01.2019 22:45","54846","56382"
"13.01.2019 22:45 - 13.01.2019 23:00","53601","55804"
"13.01.2019 23:00 - 13.01.2019 23:15","52925","55099"
"13.01.2019 23:15 - 13.01.2019 23:30","51922","54311"
"13.01.2019 23:30 - 13.01.2019 23:45","50917","53661"
"13.01.2019 23:45 - 14.01.2019 00:00","50410","52653"
"14.01.2019 00:00 - 14.01.2019 00:15","49540","51961"
"14.01.2019 00:15 - 14.01.2019 00:30","49143","51545"
"14.01.2019 00:30 - 14.01.2019 00:45","48746","51029"
"14.01.2019 00:45 - 14.01.2019 01:00","48353","50389"
"14.01.2019 01:00 - 14.01.2019 01:15","48095","49382"
"14.01.2019 01:15 - 14.01.2019 01:30","47096","49097"
"14.01.2019 01:30 - 14.01.2019 01:45","47638","48940"
"14.01.2019 01:45 - 14.01.2019 02:00","47201","48730"
"14.01.2019 02:00 - 14.01.2019 02:15","47014","48412"
"14.01.2019 02:15 - 14.01.2019 02:30","46725","48175"
"14.01.2019 02:30 - 14.01.2019 02:45","47319","48121"
"14.01.2019 02:45 - 14.01.2019 03:00","47404","48790"
"14.01.2019 03:00 - 14.01.2019 03:15","47156","48716"
"14.01.2019 03:15 - 14.01.2019 03:30","47282","48786"
"14.01.2019 03:30 - 14.01.2019 03:45","47567","48954"
"14.01.2019 03:45 - 14.01.2019 04:00","47711","49177"
"14.01.2019 04:00 - 14.01.2019 04:15","48767","49755"
"14.01.2019 04:15 - 14.01.2019 04:30","48633","50321"
"14.01.2019 04:30 - 14.01.2019 04:45","49378","50952"
"14.01.2019 04:45 - 14.01.2019 05:00","49977","51694"
"14.01.2019 05:00 - 14.01.2019 05:15","50992","53543"
"14.01.2019 05:15 - 14.01.2019 05:30","51582","54265"
"14.01.2019 05:30 - 14.01.2019 05:45","52862","55512"
"14.01.2019 05:45 - 14.01.2019 06:00","54359","57259"
"14.01.2019 06:00 - 14.01.2019 06:15","56713","60493"
"14.01.2019 06:15 - 14.01.2019 06:30","59422","62941"
"14.01.2019 06:30 - 14.01.2019 06:45","61155","64724"
"14.01.2019 06:45 - 14.01.2019 07:00","62743","66719"
"14.01.2019 07:00 - 14.01.2019 07:15","64195","69108"
"14.01.2019 07:15 - 14.01.2019 07:30","65140","70347"
"14.01.2019 07:30 - 14.01.2019 07:45","65457","71360"
"14.01.2019 07:45 - 14.01.2019 08:00","66540","72253"
"14.01.2019 08:00 - 14.01.2019 08:15","67940","72927"
"14.01.2019 08:15 - 14.01.2019 08:30","67658","73322"
"14.01.2019 08:30 - 14.01.2019 08:45","68037","73482"
"14.01.2019 08:45 - 14.01.2019 09:00","68202","73755"
"14.01.2019 09:00 - 14.01.2019 09:15","67964","72973"
"14.01.2019 09:15 - 14.01.2019 09:30","69127","73455"
"14.01.2019 09:30 - 14.01.2019 09:45","68619","73892"
"14.01.2019 09:45 - 14.01.2019 10:00","69445","74027"
"14.01.2019 10:00 - 14.01.2019 10:15","69238","73811"
"14.01.2019 10:15 - 14.01.2019 10:30","69182","73923"
"14.01.2019 10:30 - 14.01.2019 10:45","69360","73884"
"14.01.2019 10:45 - 14.01.2019 11:00","69677","74109"
"14.01.2019 11:00 - 14.01.2019 11:15","70342","74450"
"14.01.2019 11:15 - 14.01.2019 11:30","70618","74475"
"14.01.2019 11:30 - 14.01.2019 11:45","70786","74853"
"14.01.2019 11:45 - 14.01.2019 12:00","71319","74943"
"14.01.2019 12:00 - 14.01.2019 12:15","70236","74561"
"14.01.2019 12:15 - 14.01.2019 12:30","70353","74294"
"14.01.2019 12:30 - 14.01.2019 12:45","70311","74440"
"14.01.2019 12:45 - 14.01.2019 13:00","70525","74488"
"14.01.2019 13:00 - 14.01.2019 13:15","70711","74769"
"14.01.2019 13:15 - 14.01.2019 13:30","70410","74615"
"14.01.2019 13:30 - 14.01.2019 13:45","69873","74371"
"14.01.2019 13:45 - 14.01.2019 14:00","70102","73903"
"14.01.2019 14:00 - 14.01.2019 14:15","69870","73897"
"14.01.2019 14:15 - 14.01.2019 14:30","69481","73786"
"14.01.2019 14:30 - 14.01.2019 14:45","69381","73810"
"14.01.2019 14:45 - 14.01.2019 15:00","69035","73650"
"14.01.2019 15:00 - 14.01.2019 15:15","68313","73577"
"14.01.2019 15:15 - 14.01.2019 15:30","69456","72979"
"14.01.2019 15:30 - 14.01.2019 15:45","69393","72669"
"14.01.2019 15:45 - 14.01.2019 16:00","69084","72307"
"14.01.2019 16:00 - 14.01.2019 16:15","69122","72335"
"14.01.2019 16:15 - 14.01.2019 16:30","68641","72203"
"14.01.2019 16:30 - 14.01.2019 16:45","67006","72302"
"14.01.2019 16:45 - 14.01.2019 17:00","67304","73430"
"14.01.2019 17:00 - 14.01.2019 17:15","68003","74991"
"14.01.2019 17:15 - 14.01.2019 17:30","68547","75804"
"14.01.2019 17:30 - 14.01.2019 17:45","68474","76254"
"14.01.2019 17:45 - 14.01.2019 18:00","69380","76227"
"14.01.2019 18:00 - 14.01.2019 18:15","69059","75721"
"14.01.2019 18:15 - 14.01.2019 18:30","69054","75219"
"14.01.2019 18:30 - 14.01.2019 18:45","69303","75200"
"14.01.2019 18:45 - 14.01.2019 19:00","68184","74871"
"14.01.2019 19:00 - 14.01.2019 19:15","68072","74239"
"14.01.2019 19:15 - 14.01.2019 19:30","68009","73410"
"14.01.2019 19:30 - 14.01.2019 19:45","67806","73178"
"14.01.2019 19:45 - 14.01.2019 20:00","66475","72462"
"14.01.2019 20:00 - 14.01.2019 20:15","66225","70847"
"14.01.2019 20:15 - 14.01.2019 20:30","64949","69580"
"14.01.2019 20:30 - 14.01.2019 20:45","64765","68657"
"14.01.2019 20:45 - 14.01.2019 21:00","64197","67960"
"14.01.2019 21:00 - 14.01.2019 21:15","63670","67107"
"14.01.2019 21:15 - 14.01.2019 21:30","63204","66122"
"14.01.2019 21:30 - 14.01.2019 21:45","63319","65394"
"14.01.2019 21:45 - 14.01.2019 22:00","61978","64460"
"14.01.2019 22:00 - 14.01.2019 22:15","61825","64220"
"14.01.2019 22:15 - 14.01.2019 22:30","59461","63016"
"14.01.2019 22:30 - 14.01.2019 22:45","59648","62259"
"14.01.2019 22:45 - 14.01.2019 23:00","58024","61361"
"14.01.2019 23:00 - 14.01.2019 23:15","57743","60019"
"14.01.2019 23:15 - 14.01.2019 23:30","56427","58866"
"14.01.2019 23:30 - 14.01.2019 23:45","54744","58171"
"14.01.2019 23:45 - 15.01.2019 00:00","54106","57162"
"15.01.2019 00:00 - 15.01.2019 00:15","55462","56576"
"15.01.2019 00:15 - 15.01.2019 00:30","54783","56019"
"15.01.2019 00:30 - 15.01.2019 00:45","54240","55499"
"15.01.2019 00:45 - 15.01.2019 01:00","53828","55099"
"15.01.2019 01:00 - 15.01.2019 01:15","53457","54238"
"15.01.2019 01:15 - 15.01.2019 01:30","52687","53979"
"15.01.2019 01:30 - 15.01.2019 01:45","52858","53774"
"15.01.2019 01:45 - 15.01.2019 02:00","52441","54066"
"15.01.2019 02:00 - 15.01.2019 02:15","52003","53491"
"15.01.2019 02:15 - 15.01.2019 02:30","51806","53239"
"15.01.2019 02:30 - 15.01.2019 02:45","52150","53237"
"15.01.2019 02:45 - 15.01.2019 03:00","52177","53288"
"15.01.2019 03:00 - 15.01.2019 03:15","52114","53427"
"15.01.2019 03:15 - 15.01.2019 03:30","52242","53353"
"15.01.2019 03:30 - 15.01.2019 03:45","52399","53643"
"15.01.2019 03:45 - 15.01.2019 04:00","52447","53623"
"15.01.2019 04:00 - 15.01.2019 04:15","53086","54054"
"15.01.2019 04:15 - 15.01.2019 04:30","53154","54224"
"15.01.2019 04:30 - 15.01.2019 04:45","53714","54809"
"15.01.2019 04:45 - 15.01.2019 05:00","54236","55382"
"15.01.2019 05:00 - 15.01.2019 05:15","54848","56822"
"15.01.2019 05:15 - 15.01.2019 05:30","55407","57465"
"15.01.2019 05:30 - 15.01.2019 05:45","56665","58498"
"15.01.2019 05:45 - 15.01.2019 06:00","57991","59637"
"15.01.2019 06:00 - 15.01.2019 06:15","60107","62559"
"15.01.2019 06:15 - 15.01.2019 06:30","62692","64376"
"15.01.2019 06:30 - 15.01.2019 06:45","64169","65869"
"15.01.2019 06:45 - 15.01.2019 07:00","65761","67803"
"15.01.2019 07:00 - 15.01.2019 07:15","67419","70149"
"15.01.2019 07:15 - 15.01.2019 07:30","68037","71341"
"15.01.2019 07:30 - 15.01.2019 07:45","68666","72506"
"15.01.2019 07:45 - 15.01.2019 08:00","69564","73510"
"15.01.2019 08:00 - 15.01.2019 08:15","70518","74178"
"15.01.2019 08:15 - 15.01.2019 08:30","70472","74372"
"15.01.2019 08:30 - 15.01.2019 08:45","70791","74414"
"15.01.2019 08:45 - 15.01.2019 09:00","70950","74534"
"15.01.2019 09:00 - 15.01.2019 09:15","70530","74181"
"15.01.2019 09:15 - 15.01.2019 09:30","71336","74066"
"15.01.2019 09:30 - 15.01.2019 09:45","70969","74570"
"15.01.2019 09:45 - 15.01.2019 10:00","71591","74721"
"15.01.2019 10:00 - 15.01.2019 10:15","71480","75264"
"15.01.2019 10:15 - 15.01.2019 10:30","71426","75324"
"15.01.2019 10:30 - 15.01.2019 10:45","71474","75228"
"15.01.2019 10:45 - 15.01.2019 11:00","71596","75450"
"15.01.2019 11:00 - 15.01.2019 11:15","72095","75633"
"15.01.2019 11:15 - 15.01.2019 11:30","72336","75829"
"15.01.2019 11:30 - 15.01.2019 11:45","72524","75815"
"15.01.2019 11:45 - 15.01.2019 12:00","72194","75694"
"15.01.2019 12:00 - 15.01.2019 12:15","71764","75309"
"15.01.2019 12:15 - 15.01.2019 12:30","71957","75115"
"15.01.2019 12:30 - 15.01.2019 12:45","71854","74950"
"15.01.2019 12:45 - 15.01.2019 13:00","72147","74997"
"15.01.2019 13:00 - 15.01.2019 13:15","72135","75090"
"15.01.2019 13:15 - 15.01.2019 13:30","71936","75176"
"15.01.2019 13:30 - 15.01.2019 13:45","71659","74892"
"15.01.2019 13:45 - 15.01.2019 14:00","71365","74531"
"15.01.2019 14:00 - 15.01.2019 14:15","71287","74411"
"15.01.2019 14:15 - 15.01.2019 14:30","70847","74571"
"15.01.2019 14:30 - 15.01.2019 14:45","71017","74496"
"15.01.2019 14:45 - 15.01.2019 15:00","71051","74595"
"15.01.2019 15:00 - 15.01.2019 15:15","70995","74396"
"15.01.2019 15:15 - 15.01.2019 15:30","71052","74208"
"15.01.2019 15:30 - 15.01.2019 15:45","70753","73883"
"15.01.2019 15:45 - 15.01.2019 16:00","70741","73803"
"15.01.2019 16:00 - 15.01.2019 16:15","70806","73822"
"15.01.2019 16:15 - 15.01.2019 16:30","70995","73772"
"15.01.2019 16:30 - 15.01.2019 16:45","71237","74139"
"15.01.2019 16:45 - 15.01.2019 17:00","72078","74538"
"15.01.2019 17:00 - 15.01.2019 17:15","72448","75364"
"15.01.2019 17:15 - 15.01.2019 17:30","73166","76099"
"15.01.2019 17:30 - 15.01.2019 17:45","73237","76447"
"15.01.2019 17:45 - 15.01.2019 18:00","73985","76639"
"15.01.2019 18:00 - 15.01.2019 18:15","73612","75970"
"15.01.2019 18:15 - 15.01.2019 18:30","73583","75525"
"15.01.2019 18:30 - 15.01.2019 18:45","73592","75172"
"15.01.2019 18:45 - 15.01.2019 19:00","72528","75231"
"15.01.2019 19:00 - 15.01.2019 19:15","72123","74867"
"15.01.2019 19:15 - 15.01.2019 19:30","71741","73789"
"15.01.2019 19:30 - 15.01.2019 19:45","71353","73482"
"15.01.2019 19:45 - 15.01.2019 20:00","69955","72749"
"15.01.2019 20:00 - 15.01.2019 20:15","69256","71260"
"15.01.2019 20:15 - 15.01.2019 20:30","67630","70331"
"15.01.2019 20:30 - 15.01.2019 20:45","66973","69610"
"15.01.2019 20:45 - 15.01.2019 21:00","66279","68338"
"15.01.2019 21:00 - 15.01.2019 21:15","65320","67614"
"15.01.2019 21:15 - 15.01.2019 21:30","64655","66754"
"15.01.2019 21:30 - 15.01.2019 21:45","64217","66198"
"15.01.2019 21:45 - 15.01.2019 22:00","63376","65042"
"15.01.2019 22:00 - 15.01.2019 22:15","63405","64706"
"15.01.2019 22:15 - 15.01.2019 22:30","61598","64151"
"15.01.2019 22:30 - 15.01.2019 22:45","61402","62890"
"15.01.2019 22:45 - 15.01.2019 23:00","59785","61846"
"15.01.2019 23:00 - 15.01.2019 23:15","59185","60592"
"15.01.2019 23:15 - 15.01.2019 23:30","57939","59318"
"15.01.2019 23:30 - 15.01.2019 23:45","56493","58827"
"15.01.2019 23:45 - 16.01.2019 00:00","55904","57735"
"16.01.2019 00:00 - 16.01.2019 00:15","55731","56695"
"16.01.2019 00:15 - 16.01.2019 00:30","55027","55775"
"16.01.2019 00:30 - 16.01.2019 00:45","54518","55257"
"16.01.2019 00:45 - 16.01.2019 01:00","53942","54492"
"16.01.2019 01:00 - 16.01.2019 01:15","53605","53933"
"16.01.2019 01:15 - 16.01.2019 01:30","52614","53577"
"16.01.2019 01:30 - 16.01.2019 01:45","53011","53079"
"16.01.2019 01:45 - 16.01.2019 02:00","52535","52858"
"16.01.2019 02:00 - 16.01.2019 02:15","51953","52446"
"16.01.2019 02:15 - 16.01.2019 02:30","51654","52458"
"16.01.2019 02:30 - 16.01.2019 02:45","52161","52138"
"16.01.2019 02:45 - 16.01.2019 03:00","52243","52086"
"16.01.2019 03:00 - 16.01.2019 03:15","52078","52052"
"16.01.2019 03:15 - 16.01.2019 03:30","52279","52390"
"16.01.2019 03:30 - 16.01.2019 03:45","52448","52608"
"16.01.2019 03:45 - 16.01.2019 04:00","52503","52826"
"16.01.2019 04:00 - 16.01.2019 04:15","53305","53511"
"16.01.2019 04:15 - 16.01.2019 04:30","53251","53801"
"16.01.2019 04:30 - 16.01.2019 04:45","53933","54278"
"16.01.2019 04:45 - 16.01.2019 05:00","54366","54343"
"16.01.2019 05:00 - 16.01.2019 05:15","55245","56008"
"16.01.2019 05:15 - 16.01.2019 05:30","55698","56539"
"16.01.2019 05:30 - 16.01.2019 05:45","56916","57517"
"16.01.2019 05:45 - 16.01.2019 06:00","58188","59043"
"16.01.2019 06:00 - 16.01.2019 06:15","60123","61977"
"16.01.2019 06:15 - 16.01.2019 06:30","62746","64377"
"16.01.2019 06:30 - 16.01.2019 06:45","64455","66651"
"16.01.2019 06:45 - 16.01.2019 07:00","66056","68695"
"16.01.2019 07:00 - 16.01.2019 07:15","67530","70821"
"16.01.2019 07:15 - 16.01.2019 07:30","68210","72149"
"16.01.2019 07:30 - 16.01.2019 07:45","69487","73227"
"16.01.2019 07:45 - 16.01.2019 08:00","70310","73873"
"16.01.2019 08:00 - 16.01.2019 08:15","71359","74686"
"16.01.2019 08:15 - 16.01.2019 08:30","71138","74770"
"16.01.2019 08:30 - 16.01.2019 08:45","71328","74812"
"16.01.2019 08:45 - 16.01.2019 09:00","71506","74978"
"16.01.2019 09:00 - 16.01.2019 09:15","71123","74721"
"16.01.2019 09:15 - 16.01.2019 09:30","72245","74745"
"16.01.2019 09:30 - 16.01.2019 09:45","71867","74952"
"16.01.2019 09:45 - 16.01.2019 10:00","72541","74970"
"16.01.2019 10:00 - 16.01.2019 10:15","72679","75259"
"16.01.2019 10:15 - 16.01.2019 10:30","72291","75542"
"16.01.2019 10:30 - 16.01.2019 10:45","72287","75760"
"16.01.2019 10:45 - 16.01.2019 11:00","72295","75946"
"16.01.2019 11:00 - 16.01.2019 11:15","73240","76203"
"16.01.2019 11:15 - 16.01.2019 11:30","73501","76314"
"16.01.2019 11:30 - 16.01.2019 11:45","73869","76326"
"16.01.2019 11:45 - 16.01.2019 12:00","73455","76180"
"16.01.2019 12:00 - 16.01.2019 12:15","72530","75805"
"16.01.2019 12:15 - 16.01.2019 12:30","72740","75514"
"16.01.2019 12:30 - 16.01.2019 12:45","72807","75648"
"16.01.2019 12:45 - 16.01.2019 13:00","73169","75716"
"16.01.2019 13:00 - 16.01.2019 13:15","73074","76065"
"16.01.2019 13:15 - 16.01.2019 13:30","72991","75843"
"16.01.2019 13:30 - 16.01.2019 13:45","72430","75486"
"16.01.2019 13:45 - 16.01.2019 14:00","72265","74648"
"16.01.2019 14:00 - 16.01.2019 14:15","72243","74280"
"16.01.2019 14:15 - 16.01.2019 14:30","71815","74070"
"16.01.2019 14:30 - 16.01.2019 14:45","71851","73942"
"16.01.2019 14:45 - 16.01.2019 15:00","71677","73898"
"16.01.2019 15:00 - 16.01.2019 15:15","71504","73948"
"16.01.2019 15:15 - 16.01.2019 15:30","71481","73594"
"16.01.2019 15:30 - 16.01.2019 15:45","71329","73525"
"16.01.2019 15:45 - 16.01.2019 16:00","71037","73215"
"16.01.2019 16:00 - 16.01.2019 16:15","71012","73008"
"16.01.2019 16:15 - 16.01.2019 16:30","71150","73229"
"16.01.2019 16:30 - 16.01.2019 16:45","71169","73661"
"16.01.2019 16:45 - 16.01.2019 17:00","72194","74224"
"16.01.2019 17:00 - 16.01.2019 17:15","72763","75450"
"16.01.2019 17:15 - 16.01.2019 17:30","73326","76437"
"16.01.2019 17:30 - 16.01.2019 17:45","73131","77009"
"16.01.2019 17:45 - 16.01.2019 18:00","73858","77092"
"16.01.2019 18:00 - 16.01.2019 18:15","73627","76563"
"16.01.2019 18:15 - 16.01.2019 18:30","73499","76141"
"16.01.2019 18:30 - 16.01.2019 18:45","73655","75776"
"16.01.2019 18:45 - 16.01.2019 19:00","72538","75629"
"16.01.2019 19:00 - 16.01.2019 19:15","72047","75386"
"16.01.2019 19:15 - 16.01.2019 19:30","71626","74546"
"16.01.2019 19:30 - 16.01.2019 19:45","71475","73931"
"16.01.2019 19:45 - 16.01.2019 20:00","70058","73339"
"16.01.2019 20:00 - 16.01.2019 20:15","69287","71706"
"16.01.2019 20:15 - 16.01.2019 20:30","67514","70412"
"16.01.2019 20:30 - 16.01.2019 20:45","66972","69265"
"16.01.2019 20:45 - 16.01.2019 21:00","66305","68557"
"16.01.2019 21:00 - 16.01.2019 21:15","65259","67706"
"16.01.2019 21:15 - 16.01.2019 21:30","64599","66949"
"16.01.2019 21:30 - 16.01.2019 21:45","64397","66052"
"16.01.2019 21:45 - 16.01.2019 22:00","63543","65072"
"16.01.2019 22:00 - 16.01.2019 22:15","63626","64695"
"16.01.2019 22:15 - 16.01.2019 22:30","61572","63912"
"16.01.2019 22:30 - 16.01.2019 22:45","61633","63136"
"16.01.2019 22:45 - 16.01.2019 23:00","59947","62096"
"16.01.2019 23:00 - 16.01.2019 23:15","59599","60886"
"16.01.2019 23:15 - 16.01.2019 23:30","58212","59986"
"16.01.2019 23:30 - 16.01.2019 23:45","56641","59216"
"16.01.2019 23:45 - 17.01.2019 00:00","55975","58311"
"17.01.2019 00:00 - 17.01.2019 00:15","56015","57437"
"17.01.2019 00:15 - 17.01.2019 00:30","55210","56697"
"17.01.2019 00:30 - 17.01.2019 00:45","54755","56408"
"17.01.2019 00:45 - 17.01.2019 01:00","54177","55733"
"17.01.2019 01:00 - 17.01.2019 01:15","53692","55314"
"17.01.2019 01:15 - 17.01.2019 01:30","53069","54461"
"17.01.2019 01:30 - 17.01.2019 01:45","53046","54402"
"17.01.2019 01:45 - 17.01.2019 02:00","52716","54308"
"17.01.2019 02:00 - 17.01.2019 02:15","52272","53579"
"17.01.2019 02:15 - 17.01.2019 02:30","52019","53408"
"17.01.2019 02:30 - 17.01.2019 02:45","52254","53253"
"17.01.2019 02:45 - 17.01.2019 03:00","52300","53349"
"17.01.2019 03:00 - 17.01.2019 03:15","52304","53301"
"17.01.2019 03:15 - 17.01.2019 03:30","52308","53520"
"17.01.2019 03:30 - 17.01.2019 03:45","52392","53286"
"17.01.2019 03:45 - 17.01.2019 04:00","52466","53479"
"17.01.2019 04:00 - 17.01.2019 04:15","52992","54138"
"17.01.2019 04:15 - 17.01.2019 04:30","53158","54844"
"17.01.2019 04:30 - 17.01.2019 04:45","53602","55207"
"17.01.2019 04:45 - 17.01.2019 05:00","54070","55966"
"17.01.2019 05:00 - 17.01.2019 05:15","55160","57142"
"17.01.2019 05:15 - 17.01.2019 05:30","55660","57635"
"17.01.2019 05:30 - 17.01.2019 05:45","56663","58578"
"17.01.2019 05:45 - 17.01.2019 06:00","57923","59861"
"17.01.2019 06:00 - 17.01.2019 06:15","60029","63010"
"17.01.2019 06:15 - 17.01.2019 06:30","62365","65105"
"17.01.2019 06:30 - 17.01.2019 06:45","64201","66953"
"17.01.2019 06:45 - 17.01.2019 07:00","65934","68775"
"17.01.2019 07:00 - 17.01.2019 07:15","67618","71104"
"17.01.2019 07:15 - 17.01.2019 07:30","68495","72577"
"17.01.2019 07:30 - 17.01.2019 07:45","69892","73542"
"17.01.2019 07:45 - 17.01.2019 08:00","70608","74706"
"17.01.2019 08:00 - 17.01.2019 08:15","71331","75132"
"17.01.2019 08:15 - 17.01.2019 08:30","71396","75426"
"17.01.2019 08:30 - 17.01.2019 08:45","71721","75528"
"17.01.2019 08:45 - 17.01.2019 09:00","71868","75348"
"17.01.2019 09:00 - 17.01.2019 09:15","71395","74937"
"17.01.2019 09:15 - 17.01.2019 09:30","71886","75214"
"17.01.2019 09:30 - 17.01.2019 09:45","71913","75342"
"17.01.2019 09:45 - 17.01.2019 10:00","72195","75446"
"17.01.2019 10:00 - 17.01.2019 10:15","72754","75435"
"17.01.2019 10:15 - 17.01.2019 10:30","72764","75706"
"17.01.2019 10:30 - 17.01.2019 10:45","72852","75933"
"17.01.2019 10:45 - 17.01.2019 11:00","73022","76192"
"17.01.2019 11:00 - 17.01.2019 11:15","73492","76217"
"17.01.2019 11:15 - 17.01.2019 11:30","73706","76618"
"17.01.2019 11:30 - 17.01.2019 11:45","73917","77085"
"17.01.2019 11:45 - 17.01.2019 12:00","73857","77318"
"17.01.2019 12:00 - 17.01.2019 12:15","73167","76874"
"17.01.2019 12:15 - 17.01.2019 12:30","73319","76621"
"17.01.2019 12:30 - 17.01.2019 12:45","73151","76675"
"17.01.2019 12:45 - 17.01.2019 13:00","73300","76745"
"17.01.2019 13:00 - 17.01.2019 13:15","73213","76912"
"17.01.2019 13:15 - 17.01.2019 13:30","72974","76611"
"17.01.2019 13:30 - 17.01.2019 13:45","72576","76167"
"17.01.2019 13:45 - 17.01.2019 14:00","72165","75542"
"17.01.2019 14:00 - 17.01.2019 14:15","71950","75609"
"17.01.2019 14:15 - 17.01.2019 14:30","71603","75569"
"17.01.2019 14:30 - 17.01.2019 14:45","71690","75339"
"17.01.2019 14:45 - 17.01.2019 15:00","71575","74998"
"17.01.2019 15:00 - 17.01.2019 15:15","71043","74825"
"17.01.2019 15:15 - 17.01.2019 15:30","71363","74404"
"17.01.2019 15:30 - 17.01.2019 15:45","71195","74359"
"17.01.2019 15:45 - 17.01.2019 16:00","71054","74076"
"17.01.2019 16:00 - 17.01.2019 16:15","71132","73907"
"17.01.2019 16:15 - 17.01.2019 16:30","70896","73881"
"17.01.2019 16:30 - 17.01.2019 16:45","70713","74093"
"17.01.2019 16:45 - 17.01.2019 17:00","72069","74640"
"17.01.2019 17:00 - 17.01.2019 17:15","72693","75759"
"17.01.2019 17:15 - 17.01.2019 17:30","73332","76887"
"17.01.2019 17:30 - 17.01.2019 17:45","73664","77395"
"17.01.2019 17:45 - 17.01.2019 18:00","74283","77655"
"17.01.2019 18:00 - 17.01.2019 18:15","73865","77171"
"17.01.2019 18:15 - 17.01.2019 18:30","73733","76929"
"17.01.2019 18:30 - 17.01.2019 18:45","73636","76967"
"17.01.2019 18:45 - 17.01.2019 19:00","73163","76631"
"17.01.2019 19:00 - 17.01.2019 19:15","72761","75918"
"17.01.2019 19:15 - 17.01.2019 19:30","72213","75013"
"17.01.2019 19:30 - 17.01.2019 19:45","71755","74305"
"17.01.2019 19:45 - 17.01.2019 20:00","70675","74029"
"17.01.2019 20:00 - 17.01.2019 20:15","69805","72957"
"17.01.2019 20:15 - 17.01.2019 20:30","68250","71683"
"17.01.2019 20:30 - 17.01.2019 20:45","67403","70568"
"17.01.2019 20:45 - 17.01.2019 21:00","66689","69371"
"17.01.2019 21:00 - 17.01.2019 21:15","65578","68253"
"17.01.2019 21:15 - 17.01.2019 21:30","64902","67540"
"17.01.2019 21:30 - 17.01.2019 21:45","64470","66564"
"17.01.2019 21:45 - 17.01.2019 22:00","63685","66224"
"17.01.2019 22:00 - 17.01.2019 22:15","63903","65643"
"17.01.2019 22:15 - 17.01.2019 22:30","62484","64541"
"17.01.2019 22:30 - 17.01.2019 22:45","61967","63272"
"17.01.2019 22:45 - 17.01.2019 23:00","60557","62235"
"17.01.2019 23:00 - 17.01.2019 23:15","59686","60711"
"17.01.2019 23:15 - 17.01.2019 23:30","58523","60208"
"17.01.2019 23:30 - 17.01.2019 23:45","57350","59132"
"17.01.2019 23:45 - 18.01.2019 00:00","56580","58297"
"18.01.2019 00:00 - 18.01.2019 00:15","56985","57670"
"18.01.2019 00:15 - 18.01.2019 00:30","56120","57201"
"18.01.2019 00:30 - 18.01.2019 00:45","55690","56773"
"18.01.2019 00:45 - 18.01.2019 01:00","55127","56159"
"18.01.2019 01:00 - 18.01.2019 01:15","54705","55214"
"18.01.2019 01:15 - 18.01.2019 01:30","53480","54756"
"18.01.2019 01:30 - 18.01.2019 01:45","54041","54361"
"18.01.2019 01:45 - 18.01.2019 02:00","53430","53964"
"18.01.2019 02:00 - 18.01.2019 02:15","53027","53593"
"18.01.2019 02:15 - 18.01.2019 02:30","52772","53274"
"18.01.2019 02:30 - 18.01.2019 02:45","53280","52971"
"18.01.2019 02:45 - 18.01.2019 03:00","53390","53080"
"18.01.2019 03:00 - 18.01.2019 03:15","52995","53562"
"18.01.2019 03:15 - 18.01.2019 03:30","53174","53291"
"18.01.2019 03:30 - 18.01.2019 03:45","53261","53508"
"18.01.2019 03:45 - 18.01.2019 04:00","53385","53746"
"18.01.2019 04:00 - 18.01.2019 04:15","54182","54475"
"18.01.2019 04:15 - 18.01.2019 04:30","53923","54813"
"18.01.2019 04:30 - 18.01.2019 04:45","54626","54907"
"18.01.2019 04:45 - 18.01.2019 05:00","55285","55261"
"18.01.2019 05:00 - 18.01.2019 05:15","55871","56387"
"18.01.2019 05:15 - 18.01.2019 05:30","56283","56825"
"18.01.2019 05:30 - 18.01.2019 05:45","57499","57947"
"18.01.2019 05:45 - 18.01.2019 06:00","58712","59283"
"18.01.2019 06:00 - 18.01.2019 06:15","60556","61879"
"18.01.2019 06:15 - 18.01.2019 06:30","63163","64167"
"18.01.2019 06:30 - 18.01.2019 06:45","64748","65980"
