"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - BZN|DE-AT-LU","Actual Total Load [MW] - BZN|DE-AT-LU"
"02.01.2018 18:15 - 02.01.2018 18:30","75631","79291"
"02.01.2018 18:30 - 02.01.2018 18:45","75427","79354"
"02.01.2018 18:45 - 02.01.2018 19:00","75411","79344"
"02.01.2018 19:00 - 02.01.2018 19:15","74795","78804"
"02.01.2018 19:15 - 02.01.2018 19:30","73874","77997"
"02.01.2018 19:30 - 02.01.2018 19:45","73229","77034"
"02.01.2018 19:45 - 02.01.2018 20:00","72575","76092"
"02.01.2018 20:00 - 02.01.2018 20:15","71210","74933"
"02.01.2018 20:15 - 02.01.2018 20:30","69534","73643"
"02.01.2018 20:30 - 02.01.2018 20:45","68893","72424"
"02.01.2018 20:45 - 02.01.2018 21:00","67960","71078"
"02.01.2018 21:00 - 02.01.2018 21:15","66747","70588"
"02.01.2018 21:15 - 02.01.2018 21:30","66103","69357"
"02.01.2018 21:30 - 02.01.2018 21:45","65856","68775"
"02.01.2018 21:45 - 02.01.2018 22:00","64416","68014"
"02.01.2018 22:00 - 02.01.2018 22:15","64389","68578"
"02.01.2018 22:15 - 02.01.2018 22:30","63656","67700"
"02.01.2018 22:30 - 02.01.2018 22:45","62427","66592"
"02.01.2018 22:45 - 02.01.2018 23:00","60958","65436"
"02.01.2018 23:00 - 02.01.2018 23:15","59759","64167"
"02.01.2018 23:15 - 02.01.2018 23:30","58511","63192"
"02.01.2018 23:30 - 02.01.2018 23:45","57392","62304"
"02.01.2018 23:45 - 03.01.2018 00:00","56478","61200"
"03.01.2018 00:00 - 03.01.2018 00:15","56397","60581"
"03.01.2018 00:15 - 03.01.2018 00:30","55879","59796"
"03.01.2018 00:30 - 03.01.2018 00:45","55207","59006"
"03.01.2018 00:45 - 03.01.2018 01:00","54479","58524"
"03.01.2018 01:00 - 03.01.2018 01:15","53787","57982"
"03.01.2018 01:15 - 03.01.2018 01:30","53310","57197"
"03.01.2018 01:30 - 03.01.2018 01:45","52862","56929"
"03.01.2018 01:45 - 03.01.2018 02:00","52540","56476"
"03.01.2018 02:00 - 03.01.2018 02:15","52351","56511"
"03.01.2018 02:15 - 03.01.2018 02:30","52091","56086"
"03.01.2018 02:30 - 03.01.2018 02:45","52019","56147"
"03.01.2018 02:45 - 03.01.2018 03:00","51931","56189"
"03.01.2018 03:00 - 03.01.2018 03:15","51950","56541"
