"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - BZN|DE-AT-LU","Actual Total Load [MW] - BZN|DE-AT-LU"
"03.01.2016 10:30 - 03.01.2016 10:45","52004","59471"
"03.01.2016 10:45 - 03.01.2016 11:00","52554","60328"
"03.01.2016 11:00 - 03.01.2016 11:15","53132","61111"
"03.01.2016 11:15 - 03.01.2016 11:30","53887","62070"
"03.01.2016 11:30 - 03.01.2016 11:45","54427","62909"
"03.01.2016 11:45 - 03.01.2016 12:00","54384","62933"
"03.01.2016 12:00 - 03.01.2016 12:15","54463","62869"
"03.01.2016 12:15 - 03.01.2016 12:30","53964","62668"
"03.01.2016 12:30 - 03.01.2016 12:45","53756","62233"
"03.01.2016 12:45 - 03.01.2016 13:00","53174","61683"
"03.01.2016 13:00 - 03.01.2016 13:15","52609","61363"
"03.01.2016 13:15 - 03.01.2016 13:30","52092","60927"
"03.01.2016 13:30 - 03.01.2016 13:45","51675","60646"
"03.01.2016 13:45 - 03.01.2016 14:00","51413","59903"
"03.01.2016 14:00 - 03.01.2016 14:15","50889","59688"
"03.01.2016 14:15 - 03.01.2016 14:30","50712","59391"
"03.01.2016 14:30 - 03.01.2016 14:45","50963","59043"
"03.01.2016 14:45 - 03.01.2016 15:00","50113","58648"
"03.01.2016 15:00 - 03.01.2016 15:15","50196","59030"
"03.01.2016 15:15 - 03.01.2016 15:30","49792","58915"
"03.01.2016 15:30 - 03.01.2016 15:45","50211","59060"
"03.01.2016 15:45 - 03.01.2016 16:00","50652","59092"
"03.01.2016 16:00 - 03.01.2016 16:15","50779","59613"
"03.01.2016 16:15 - 03.01.2016 16:30","51506","60437"
"03.01.2016 16:30 - 03.01.2016 16:45","52472","61685"
"03.01.2016 16:45 - 03.01.2016 17:00","53337","63156"
"03.01.2016 17:00 - 03.01.2016 17:15","54984","64722"
"03.01.2016 17:15 - 03.01.2016 17:30","56212","65593"
"03.01.2016 17:30 - 03.01.2016 17:45","57148","65956"
"03.01.2016 17:45 - 03.01.2016 18:00","57031","66422"
"03.01.2016 18:00 - 03.01.2016 18:15","57169","66847"
"03.01.2016 18:15 - 03.01.2016 18:30","57423","66547"
"03.01.2016 18:30 - 03.01.2016 18:45","57201","66255"
"03.01.2016 18:45 - 03.01.2016 19:00","56595","66200"
"03.01.2016 19:00 - 03.01.2016 19:15","57465","65794"
"03.01.2016 19:15 - 03.01.2016 19:30","56421","65336"
"03.01.2016 19:30 - 03.01.2016 19:45","56361","64674"
"03.01.2016 19:45 - 03.01.2016 20:00","55895","64221"
"03.01.2016 20:00 - 03.01.2016 20:15","55289","63978"
"03.01.2016 20:15 - 03.01.2016 20:30","54137","63016"
"03.01.2016 20:30 - 03.01.2016 20:45","53838","61989"
"03.01.2016 20:45 - 03.01.2016 21:00","53198","61007"
"03.01.2016 21:00 - 03.01.2016 21:15","52827","61136"
"03.01.2016 21:15 - 03.01.2016 21:30","52472","60703"
"03.01.2016 21:30 - 03.01.2016 21:45","52349","60215"
"03.01.2016 21:45 - 03.01.2016 22:00","52252","60333"
"03.01.2016 22:00 - 03.01.2016 22:15","53272","61534"
"03.01.2016 22:15 - 03.01.2016 22:30","53393","60986"
"03.01.2016 22:30 - 03.01.2016 22:45","52444","59939"
"03.01.2016 22:45 - 03.01.2016 23:00","51617","59066"
"03.01.2016 23:00 - 03.01.2016 23:15","50897","58274"
"03.01.2016 23:15 - 03.01.2016 23:30","50373","57598"
"03.01.2016 23:30 - 03.01.2016 23:45","49319","56661"
"03.01.2016 23:45 - 04.01.2016 00:00","48619","55487"
"04.01.2016 00:00 - 04.01.2016 00:15","46758","55289"
"04.01.2016 00:15 - 04.01.2016 00:30","46863","54173"
"04.01.2016 00:30 - 04.01.2016 00:45","46370","53417"
"04.01.2016 00:45 - 04.01.2016 01:00","45897","52825"
"04.01.2016 01:00 - 04.01.2016 01:15","45464","52280"
"04.01.2016 01:15 - 04.01.2016 01:30","45121","51906"
"04.01.2016 01:30 - 04.01.2016 01:45","44781","51503"
"04.01.2016 01:45 - 04.01.2016 02:00","44510","51092"
"04.01.2016 02:00 - 04.01.2016 02:15","44354","50805"
"04.01.2016 02:15 - 04.01.2016 02:30","44052","50527"
"04.01.2016 02:30 - 04.01.2016 02:45","43904","50290"
"04.01.2016 02:45 - 04.01.2016 03:00","43771","50316"
"04.01.2016 03:00 - 04.01.2016 03:15","43960","50206"
"04.01.2016 03:15 - 04.01.2016 03:30","43661","50315"
"04.01.2016 03:30 - 04.01.2016 03:45","43846","50284"
"04.01.2016 03:45 - 04.01.2016 04:00","43677","50621"
"04.01.2016 04:00 - 04.01.2016 04:15","43985","51201"
"04.01.2016 04:15 - 04.01.2016 04:30","44758","51654"
"04.01.2016 04:30 - 04.01.2016 04:45","44660","52126"
"04.01.2016 04:45 - 04.01.2016 05:00","45142","52686"
"04.01.2016 05:00 - 04.01.2016 05:15","46494","54110"
"04.01.2016 05:15 - 04.01.2016 05:30","46448","54905"
"04.01.2016 05:30 - 04.01.2016 05:45","47328","56136"
"04.01.2016 05:45 - 04.01.2016 06:00","48352","57379"
"04.01.2016 06:00 - 04.01.2016 06:15","50355","59587"
"04.01.2016 06:15 - 04.01.2016 06:30","51417","61819"
"04.01.2016 06:30 - 04.01.2016 06:45","52973","63571"
"04.01.2016 06:45 - 04.01.2016 07:00","54901","64693"
"04.01.2016 07:00 - 04.01.2016 07:15","56156","67147"
"04.01.2016 07:15 - 04.01.2016 07:30","57394","68793"
"04.01.2016 07:30 - 04.01.2016 07:45","59596","70343"
"04.01.2016 07:45 - 04.01.2016 08:00","60342","71697"
"04.01.2016 08:00 - 04.01.2016 08:15","61292","72924"
"04.01.2016 08:15 - 04.01.2016 08:30","61265","73747"
"04.01.2016 08:30 - 04.01.2016 08:45","61885","74185"
"04.01.2016 08:45 - 04.01.2016 09:00","62044","74582"
"04.01.2016 09:00 - 04.01.2016 09:15","62543","75004"
"04.01.2016 09:15 - 04.01.2016 09:30","62850","75534"
"04.01.2016 09:30 - 04.01.2016 09:45","63189","75948"
"04.01.2016 09:45 - 04.01.2016 10:00","63630","76129"
"04.01.2016 10:00 - 04.01.2016 10:15","63651","76571"
"04.01.2016 10:15 - 04.01.2016 10:30","64090","76804"
"04.01.2016 10:30 - 04.01.2016 10:45","64525","77086"
"04.01.2016 10:45 - 04.01.2016 11:00","64669","77528"
"04.01.2016 11:00 - 04.01.2016 11:15","65086","77803"
"04.01.2016 11:15 - 04.01.2016 11:30","65051","78424"
"04.01.2016 11:30 - 04.01.2016 11:45","65583","78853"
"04.01.2016 11:45 - 04.01.2016 12:00","65824","78845"
"04.01.2016 12:00 - 04.01.2016 12:15","65428","78665"
"04.01.2016 12:15 - 04.01.2016 12:30","65132","78427"
"04.01.2016 12:30 - 04.01.2016 12:45","65451","78410"
"04.01.2016 12:45 - 04.01.2016 13:00","65384","78342"
"04.01.2016 13:00 - 04.01.2016 13:15","65215","78307"
"04.01.2016 13:15 - 04.01.2016 13:30","65215","77977"
"04.01.2016 13:30 - 04.01.2016 13:45","65076","77523"
"04.01.2016 13:45 - 04.01.2016 14:00","64904","76940"
"04.01.2016 14:00 - 04.01.2016 14:15","64548","76786"
"04.01.2016 14:15 - 04.01.2016 14:30","64207","76441"
"04.01.2016 14:30 - 04.01.2016 14:45","64564","76225"
"04.01.2016 14:45 - 04.01.2016 15:00","63721","75984"
"04.01.2016 15:00 - 04.01.2016 15:15","64569","76068"
"04.01.2016 15:15 - 04.01.2016 15:30","64100","75774"
"04.01.2016 15:30 - 04.01.2016 15:45","64048","75662"
"04.01.2016 15:45 - 04.01.2016 16:00","63986","75552"
"04.01.2016 16:00 - 04.01.2016 16:15","63254","75787"
"04.01.2016 16:15 - 04.01.2016 16:30","64516","76346"
"04.01.2016 16:30 - 04.01.2016 16:45","65349","77400"
"04.01.2016 16:45 - 04.01.2016 17:00","66178","78810"
"04.01.2016 17:00 - 04.01.2016 17:15","66917","79998"
"04.01.2016 17:15 - 04.01.2016 17:30","68062","80768"
"04.01.2016 17:30 - 04.01.2016 17:45","68156","81339"
"04.01.2016 17:45 - 04.01.2016 18:00","68428","81477"
"04.01.2016 18:00 - 04.01.2016 18:15","67701","81129"
"04.01.2016 18:15 - 04.01.2016 18:30","67955","80839"
"04.01.2016 18:30 - 04.01.2016 18:45","67537","80641"
"04.01.2016 18:45 - 04.01.2016 19:00","67223","80530"
"04.01.2016 19:00 - 04.01.2016 19:15","68041","79771"
"04.01.2016 19:15 - 04.01.2016 19:30","65745","78880"
"04.01.2016 19:30 - 04.01.2016 19:45","65188","77887"
"04.01.2016 19:45 - 04.01.2016 20:00","65080","77071"
"04.01.2016 20:00 - 04.01.2016 20:15","63986","75780"
"04.01.2016 20:15 - 04.01.2016 20:30","62568","74091"
"04.01.2016 20:30 - 04.01.2016 20:45","61401","72815"
"04.01.2016 20:45 - 04.01.2016 21:00","60768","71819"
"04.01.2016 21:00 - 04.01.2016 21:15","60499","71129"
"04.01.2016 21:15 - 04.01.2016 21:30","59991","70392"
"04.01.2016 21:30 - 04.01.2016 21:45","59050","69570"
"04.01.2016 21:45 - 04.01.2016 22:00","59087","68684"
"04.01.2016 22:00 - 04.01.2016 22:15","58367","68968"
"04.01.2016 22:15 - 04.01.2016 22:30","58744","68311"
"04.01.2016 22:30 - 04.01.2016 22:45","57787","67141"
"04.01.2016 22:45 - 04.01.2016 23:00","56588","65980"
"04.01.2016 23:00 - 04.01.2016 23:15","55175","64625"
"04.01.2016 23:15 - 04.01.2016 23:30","54322","63479"
"04.01.2016 23:30 - 04.01.2016 23:45","53711","62534"
"04.01.2016 23:45 - 05.01.2016 00:00","52577","61721"
"05.01.2016 00:00 - 05.01.2016 00:15","53146","60958"
"05.01.2016 00:15 - 05.01.2016 00:30","52978","60132"
"05.01.2016 00:30 - 05.01.2016 00:45","52282","59310"
"05.01.2016 00:45 - 05.01.2016 01:00","52335","58496"
"05.01.2016 01:00 - 05.01.2016 01:15","51337","57863"
"05.01.2016 01:15 - 05.01.2016 01:30","50963","57157"
"05.01.2016 01:30 - 05.01.2016 01:45","50707","56701"
"05.01.2016 01:45 - 05.01.2016 02:00","50518","56623"
"05.01.2016 02:00 - 05.01.2016 02:15","50483","56165"
"05.01.2016 02:15 - 05.01.2016 02:30","50057","55855"
"05.01.2016 02:30 - 05.01.2016 02:45","49907","55753"
"05.01.2016 02:45 - 05.01.2016 03:00","49815","55936"
"05.01.2016 03:00 - 05.01.2016 03:15","49926","55904"
"05.01.2016 03:15 - 05.01.2016 03:30","49951","55991"
"05.01.2016 03:30 - 05.01.2016 03:45","49905","56275"
"05.01.2016 03:45 - 05.01.2016 04:00","50331","56317"
"05.01.2016 04:00 - 05.01.2016 04:15","50275","56635"
"05.01.2016 04:15 - 05.01.2016 04:30","50986","56706"
"05.01.2016 04:30 - 05.01.2016 04:45","50612","57152"
"05.01.2016 04:45 - 05.01.2016 05:00","51065","57316"
"05.01.2016 05:00 - 05.01.2016 05:15","52640","58972"
"05.01.2016 05:15 - 05.01.2016 05:30","52672","59735"
"05.01.2016 05:30 - 05.01.2016 05:45","53703","60601"
"05.01.2016 05:45 - 05.01.2016 06:00","54229","61609"
"05.01.2016 06:00 - 05.01.2016 06:15","56772","63426"
"05.01.2016 06:15 - 05.01.2016 06:30","58145","65528"
"05.01.2016 06:30 - 05.01.2016 06:45","59839","67487"
"05.01.2016 06:45 - 05.01.2016 07:00","61221","68888"
"05.01.2016 07:00 - 05.01.2016 07:15","63064","70980"
"05.01.2016 07:15 - 05.01.2016 07:30","62550","72438"
"05.01.2016 07:30 - 05.01.2016 07:45","63243","73734"
"05.01.2016 07:45 - 05.01.2016 08:00","64364","74960"
"05.01.2016 08:00 - 05.01.2016 08:15","65145","75838"
"05.01.2016 08:15 - 05.01.2016 08:30","65309","76153"
"05.01.2016 08:30 - 05.01.2016 08:45","65537","76666"
"05.01.2016 08:45 - 05.01.2016 09:00","65679","77036"
"05.01.2016 09:00 - 05.01.2016 09:15","65947","76952"
"05.01.2016 09:15 - 05.01.2016 09:30","66263","77121"
"05.01.2016 09:30 - 05.01.2016 09:45","66520","77542"
"05.01.2016 09:45 - 05.01.2016 10:00","67009","77859"
"05.01.2016 10:00 - 05.01.2016 10:15","66991","78136"
"05.01.2016 10:15 - 05.01.2016 10:30","67290","78226"
"05.01.2016 10:30 - 05.01.2016 10:45","67578","78587"
"05.01.2016 10:45 - 05.01.2016 11:00","67718","78995"
