Time (CET/CEST),Day-ahead Total Load Forecast [MW],Actual Total Load [MW]
29.03.2021 02:00 - 29.03.2021 02:15,43556,45866
29.03.2021 02:15 - 29.03.2021 02:30,43572,45625
29.03.2021 02:30 - 29.03.2021 02:45,43645,45918
29.03.2021 02:45 - 29.03.2021 03:00,43645,45961
29.03.2021 03:00 - 29.03.2021 03:15,43524,46094
29.03.2021 03:15 - 29.03.2021 03:30,43807,46147
29.03.2021 03:30 - 29.03.2021 03:45,43998,46525
29.03.2021 03:45 - 29.03.2021 04:00,44322,46526
29.03.2021 04:00 - 29.03.2021 04:15,44631,47080
29.03.2021 04:15 - 29.03.2021 04:30,45154,47652
29.03.2021 04:30 - 29.03.2021 04:45,45598,48295
29.03.2021 04:45 - 29.03.2021 05:00,46445,48880
29.03.2021 05:00 - 29.03.2021 05:15,47716,50555
29.03.2021 05:15 - 29.03.2021 05:30,48231,51269
29.03.2021 05:30 - 29.03.2021 05:45,49265,52350
29.03.2021 05:45 - 29.03.2021 06:00,50658,54078
29.03.2021 06:00 - 29.03.2021 06:15,53473,56940
29.03.2021 06:15 - 29.03.2021 06:30,55191,58838
29.03.2021 06:30 - 29.03.2021 06:45,56430,60527
29.03.2021 06:45 - 29.03.2021 07:00,57519,61688
29.03.2021 07:00 - 29.03.2021 07:15,59413,63081
29.03.2021 07:15 - 29.03.2021 07:30,60493,64095
29.03.2021 07:30 - 29.03.2021 07:45,61363,65227
29.03.2021 07:45 - 29.03.2021 08:00,62111,66299
29.03.2021 08:00 - 29.03.2021 08:15,63216,67098
29.03.2021 08:15 - 29.03.2021 08:30,63678,67566
29.03.2021 08:30 - 29.03.2021 08:45,64272,67920
29.03.2021 08:45 - 29.03.2021 09:00,64734,67988
29.03.2021 09:00 - 29.03.2021 09:15,64234,68046
29.03.2021 09:15 - 29.03.2021 09:30,64760,68432
29.03.2021 09:30 - 29.03.2021 09:45,65466,68850
29.03.2021 09:45 - 29.03.2021 10:00,65777,69186
29.03.2021 10:00 - 29.03.2021 10:15,65930,68655
29.03.2021 10:15 - 29.03.2021 10:30,66374,68820
29.03.2021 10:30 - 29.03.2021 10:45,66427,69277
29.03.2021 10:45 - 29.03.2021 11:00,66570,69368
29.03.2021 11:00 - 29.03.2021 11:15,67294,69641
29.03.2021 11:15 - 29.03.2021 11:30,67709,70178
29.03.2021 11:30 - 29.03.2021 11:45,67883,70894
29.03.2021 11:45 - 29.03.2021 12:00,68108,70775
29.03.2021 12:00 - 29.03.2021 12:15,67509,70492
29.03.2021 12:15 - 29.03.2021 12:30,67551,70552
29.03.2021 12:30 - 29.03.2021 12:45,67458,70396
29.03.2021 12:45 - 29.03.2021 13:00,67669,70115
29.03.2021 13:00 - 29.03.2021 13:15,67306,69941
29.03.2021 13:15 - 29.03.2021 13:30,67035,69397
29.03.2021 13:30 - 29.03.2021 13:45,66294,68742
29.03.2021 13:45 - 29.03.2021 14:00,65812,67736
29.03.2021 14:00 - 29.03.2021 14:15,65345,67377
29.03.2021 14:15 - 29.03.2021 14:30,65136,67065
29.03.2021 14:30 - 29.03.2021 14:45,65054,66685
29.03.2021 14:45 - 29.03.2021 15:00,64707,66317
29.03.2021 15:00 - 29.03.2021 15:15,64274,65892
29.03.2021 15:15 - 29.03.2021 15:30,63925,65643
29.03.2021 15:30 - 29.03.2021 15:45,63744,65268
29.03.2021 15:45 - 29.03.2021 16:00,63543,64553
29.03.2021 16:00 - 29.03.2021 16:15,62994,64652
29.03.2021 16:15 - 29.03.2021 16:30,62709,64356
29.03.2021 16:30 - 29.03.2021 16:45,62400,63971
29.03.2021 16:45 - 29.03.2021 17:00,62054,63795
29.03.2021 17:00 - 29.03.2021 17:15,62041,63608
29.03.2021 17:15 - 29.03.2021 17:30,62091,63276
29.03.2021 17:30 - 29.03.2021 17:45,62284,63171
29.03.2021 17:45 - 29.03.2021 18:00,62469,63158
29.03.2021 18:00 - 29.03.2021 18:15,62462,63011
29.03.2021 18:15 - 29.03.2021 18:30,63031,63085
29.03.2021 18:30 - 29.03.2021 18:45,63260,63441
29.03.2021 18:45 - 29.03.2021 19:00,63508,63933
29.03.2021 19:00 - 29.03.2021 19:15,64025,64305
29.03.2021 19:15 - 29.03.2021 19:30,63819,64510
29.03.2021 19:30 - 29.03.2021 19:45,64094,64889
29.03.2021 19:45 - 29.03.2021 20:00,63937,65257
29.03.2021 20:00 - 29.03.2021 20:15,62853,65342
29.03.2021 20:15 - 29.03.2021 20:30,61808,65400
29.03.2021 20:30 - 29.03.2021 20:45,61096,64616
29.03.2021 20:45 - 29.03.2021 21:00,60421,63603
29.03.2021 21:00 - 29.03.2021 21:15,59608,62636
29.03.2021 21:15 - 29.03.2021 21:30,58945,61640
29.03.2021 21:30 - 29.03.2021 21:45,58094,60795
29.03.2021 21:45 - 29.03.2021 22:00,57456,59967
29.03.2021 22:00 - 29.03.2021 22:15,57380,59675
29.03.2021 22:15 - 29.03.2021 22:30,56669,58741
29.03.2021 22:30 - 29.03.2021 22:45,55811,57713
29.03.2021 22:45 - 29.03.2021 23:00,54945,56733
29.03.2021 23:00 - 29.03.2021 23:15,53827,55535
29.03.2021 23:15 - 29.03.2021 23:30,52922,54440
29.03.2021 23:30 - 29.03.2021 23:45,52173,53353
29.03.2021 23:45 - 30.03.2021 00:00,51453,52644
30.03.2021 00:00 - 30.03.2021 00:15,48694,51865
30.03.2021 00:15 - 30.03.2021 00:30,48119,50853
30.03.2021 00:30 - 30.03.2021 00:45,47680,50343
30.03.2021 00:45 - 30.03.2021 01:00,47433,49831
30.03.2021 01:00 - 30.03.2021 01:15,46805,49006
30.03.2021 01:15 - 30.03.2021 01:30,46455,48705
30.03.2021 01:30 - 30.03.2021 01:45,46243,48222
30.03.2021 01:45 - 30.03.2021 02:00,45989,48074
30.03.2021 02:00 - 30.03.2021 02:15,45874,47811
30.03.2021 02:15 - 30.03.2021 02:30,45964,47636
30.03.2021 02:30 - 30.03.2021 02:45,46009,47860
30.03.2021 02:45 - 30.03.2021 03:00,45932,47941
30.03.2021 03:00 - 30.03.2021 03:15,45925,48653
30.03.2021 03:15 - 30.03.2021 03:30,46129,48800
30.03.2021 03:30 - 30.03.2021 03:45,46086,48834
30.03.2021 03:45 - 30.03.2021 04:00,46303,48887
30.03.2021 04:00 - 30.03.2021 04:15,46633,49405
30.03.2021 04:15 - 30.03.2021 04:30,47133,49707
30.03.2021 04:30 - 30.03.2021 04:45,47626,50444
30.03.2021 04:45 - 30.03.2021 05:00,48228,51129
30.03.2021 05:00 - 30.03.2021 05:15,49522,52548
30.03.2021 05:15 - 30.03.2021 05:30,50189,53209
30.03.2021 05:30 - 30.03.2021 05:45,50991,53751
30.03.2021 05:45 - 30.03.2021 06:00,52536,55022
30.03.2021 06:00 - 30.03.2021 06:15,54870,58171
30.03.2021 06:15 - 30.03.2021 06:30,56405,59756
30.03.2021 06:30 - 30.03.2021 06:45,57616,61028
30.03.2021 06:45 - 30.03.2021 07:00,58720,62009
30.03.2021 07:00 - 30.03.2021 07:15,60365,63726
30.03.2021 07:15 - 30.03.2021 07:30,61004,64544
30.03.2021 07:30 - 30.03.2021 07:45,61755,65277
30.03.2021 07:45 - 30.03.2021 08:00,62350,66062
30.03.2021 08:00 - 30.03.2021 08:15,63100,66984
30.03.2021 08:15 - 30.03.2021 08:30,63350,67750
30.03.2021 08:30 - 30.03.2021 08:45,63767,68050
30.03.2021 08:45 - 30.03.2021 09:00,64191,68403
30.03.2021 09:00 - 30.03.2021 09:15,63685,68003
30.03.2021 09:15 - 30.03.2021 09:30,64102,68286
30.03.2021 09:30 - 30.03.2021 09:45,64599,68540
30.03.2021 09:45 - 30.03.2021 10:00,64878,68651
30.03.2021 10:00 - 30.03.2021 10:15,64994,68075
30.03.2021 10:15 - 30.03.2021 10:30,65427,67900
30.03.2021 10:30 - 30.03.2021 10:45,65424,68191
30.03.2021 10:45 - 30.03.2021 11:00,65828,68350
30.03.2021 11:00 - 30.03.2021 11:15,66254,68449
30.03.2021 11:15 - 30.03.2021 11:30,66780,68507
30.03.2021 11:30 - 30.03.2021 11:45,66998,69007
30.03.2021 11:45 - 30.03.2021 12:00,67266,68964
30.03.2021 12:00 - 30.03.2021 12:15,66850,68115
30.03.2021 12:15 - 30.03.2021 12:30,66773,68412
30.03.2021 12:30 - 30.03.2021 12:45,66704,68536
30.03.2021 12:45 - 30.03.2021 13:00,66952,68510
30.03.2021 13:00 - 30.03.2021 13:15,66600,67474
30.03.2021 13:15 - 30.03.2021 13:30,66155,67049
30.03.2021 13:30 - 30.03.2021 13:45,65380,66482
30.03.2021 13:45 - 30.03.2021 14:00,64942,65883
30.03.2021 14:00 - 30.03.2021 14:15,64630,65244
30.03.2021 14:15 - 30.03.2021 14:30,64547,65044
30.03.2021 14:30 - 30.03.2021 14:45,64514,64624
30.03.2021 14:45 - 30.03.2021 15:00,64275,64352
30.03.2021 15:00 - 30.03.2021 15:15,63940,64389
30.03.2021 15:15 - 30.03.2021 15:30,63476,64062
30.03.2021 15:30 - 30.03.2021 15:45,63180,63391
30.03.2021 15:45 - 30.03.2021 16:00,62807,63332
30.03.2021 16:00 - 30.03.2021 16:15,62236,63253
30.03.2021 16:15 - 30.03.2021 16:30,61970,62901
30.03.2021 16:30 - 30.03.2021 16:45,61705,62072
30.03.2021 16:45 - 30.03.2021 17:00,61265,61942
30.03.2021 17:00 - 30.03.2021 17:15,61259,62365
30.03.2021 17:15 - 30.03.2021 17:30,61428,62296
30.03.2021 17:30 - 30.03.2021 17:45,61575,62200
30.03.2021 17:45 - 30.03.2021 18:00,61795,62460
30.03.2021 18:00 - 30.03.2021 18:15,61920,62797
30.03.2021 18:15 - 30.03.2021 18:30,62431,62859
30.03.2021 18:30 - 30.03.2021 18:45,62830,62905
30.03.2021 18:45 - 30.03.2021 19:00,63205,63206
30.03.2021 19:00 - 30.03.2021 19:15,63689,63666
30.03.2021 19:15 - 30.03.2021 19:30,63564,63549
30.03.2021 19:30 - 30.03.2021 19:45,63669,63715
30.03.2021 19:45 - 30.03.2021 20:00,63342,64063
30.03.2021 20:00 - 30.03.2021 20:15,62245,63984
30.03.2021 20:15 - 30.03.2021 20:30,61353,64134
30.03.2021 20:30 - 30.03.2021 20:45,60464,63598
30.03.2021 20:45 - 30.03.2021 21:00,59647,62719
30.03.2021 21:00 - 30.03.2021 21:15,58739,61653
30.03.2021 21:15 - 30.03.2021 21:30,58128,60735
30.03.2021 21:30 - 30.03.2021 21:45,57235,59658
30.03.2021 21:45 - 30.03.2021 22:00,56553,58565
30.03.2021 22:00 - 30.03.2021 22:15,56479,58145
30.03.2021 22:15 - 30.03.2021 22:30,55726,57215
30.03.2021 22:30 - 30.03.2021 22:45,55040,56190
30.03.2021 22:45 - 30.03.2021 23:00,54194,55168
30.03.2021 23:00 - 30.03.2021 23:15,53036,53922
30.03.2021 23:15 - 30.03.2021 23:30,52233,53172
30.03.2021 23:30 - 30.03.2021 23:45,51455,52175
30.03.2021 23:45 - 31.03.2021 00:00,50813,51668
31.03.2021 00:00 - 31.03.2021 00:15,49614,50685
31.03.2021 00:15 - 31.03.2021 00:30,48828,49988
31.03.2021 00:30 - 31.03.2021 00:45,48530,49680
31.03.2021 00:45 - 31.03.2021 01:00,48132,48851
31.03.2021 01:00 - 31.03.2021 01:15,47357,48253
31.03.2021 01:15 - 31.03.2021 01:30,46785,47665
31.03.2021 01:30 - 31.03.2021 01:45,46725,47284
31.03.2021 01:45 - 31.03.2021 02:00,46456,46894
31.03.2021 02:00 - 31.03.2021 02:15,46209,46082
31.03.2021 02:15 - 31.03.2021 02:30,46337,46103
31.03.2021 02:30 - 31.03.2021 02:45,46370,46013
31.03.2021 02:45 - 31.03.2021 03:00,46384,46056
31.03.2021 03:00 - 31.03.2021 03:15,46277,46202
31.03.2021 03:15 - 31.03.2021 03:30,46529,46464
31.03.2021 03:30 - 31.03.2021 03:45,46483,46569
31.03.2021 03:45 - 31.03.2021 04:00,46769,46656
31.03.2021 04:00 - 31.03.2021 04:15,47144,47204
31.03.2021 04:15 - 31.03.2021 04:30,47704,47787
31.03.2021 04:30 - 31.03.2021 04:45,47829,48093
31.03.2021 04:45 - 31.03.2021 05:00,48549,48845
31.03.2021 05:00 - 31.03.2021 05:15,49513,50381
31.03.2021 05:15 - 31.03.2021 05:30,50173,51194
31.03.2021 05:30 - 31.03.2021 05:45,50882,52273
31.03.2021 05:45 - 31.03.2021 06:00,52259,53690
31.03.2021 06:00 - 31.03.2021 06:15,54778,56508
31.03.2021 06:15 - 31.03.2021 06:30,56198,57996
31.03.2021 06:30 - 31.03.2021 06:45,57504,59174
31.03.2021 06:45 - 31.03.2021 07:00,58187,60180
31.03.2021 07:00 - 31.03.2021 07:15,59631,61691
31.03.2021 07:15 - 31.03.2021 07:30,60964,62507
31.03.2021 07:30 - 31.03.2021 07:45,61730,63371
31.03.2021 07:45 - 31.03.2021 08:00,62398,64233
31.03.2021 08:00 - 31.03.2021 08:15,62931,65044
31.03.2021 08:15 - 31.03.2021 08:30,63186,65595
31.03.2021 08:30 - 31.03.2021 08:45,63370,66035
31.03.2021 08:45 - 31.03.2021 09:00,63805,66554
31.03.2021 09:00 - 31.03.2021 09:15,63286,66065
31.03.2021 09:15 - 31.03.2021 09:30,64067,66398
31.03.2021 09:30 - 31.03.2021 09:45,64397,66917
31.03.2021 09:45 - 31.03.2021 10:00,64538,67246
31.03.2021 10:00 - 31.03.2021 10:15,64275,67111
31.03.2021 10:15 - 31.03.2021 10:30,64619,67242
31.03.2021 10:30 - 31.03.2021 10:45,64936,67200
31.03.2021 10:45 - 31.03.2021 11:00,65134,67438
31.03.2021 11:00 - 31.03.2021 11:15,65682,67377
31.03.2021 11:15 - 31.03.2021 11:30,66272,67587
31.03.2021 11:30 - 31.03.2021 11:45,66407,68007
31.03.2021 11:45 - 31.03.2021 12:00,66827,67714
31.03.2021 12:00 - 31.03.2021 12:15,66336,67160
31.03.2021 12:15 - 31.03.2021 12:30,66307,67075
31.03.2021 12:30 - 31.03.2021 12:45,66159,66989
31.03.2021 12:45 - 31.03.2021 13:00,66214,66641
31.03.2021 13:00 - 31.03.2021 13:15,65907,66386
31.03.2021 13:15 - 31.03.2021 13:30,65534,65924
31.03.2021 13:30 - 31.03.2021 13:45,64633,65300
31.03.2021 13:45 - 31.03.2021 14:00,64109,64406
31.03.2021 14:00 - 31.03.2021 14:15,63857,64044
31.03.2021 14:15 - 31.03.2021 14:30,63664,63861
31.03.2021 14:30 - 31.03.2021 14:45,63320,63645
31.03.2021 14:45 - 31.03.2021 15:00,63539,63166
31.03.2021 15:00 - 31.03.2021 15:15,63092,62908
31.03.2021 15:15 - 31.03.2021 15:30,62602,62637
31.03.2021 15:30 - 31.03.2021 15:45,62348,61990
31.03.2021 15:45 - 31.03.2021 16:00,61877,61534
31.03.2021 16:00 - 31.03.2021 16:15,61592,61145
31.03.2021 16:15 - 31.03.2021 16:30,60895,60653
31.03.2021 16:30 - 31.03.2021 16:45,60735,60739
31.03.2021 16:45 - 31.03.2021 17:00,60272,60519
31.03.2021 17:00 - 31.03.2021 17:15,60434,60648
31.03.2021 17:15 - 31.03.2021 17:30,60609,60603
31.03.2021 17:30 - 31.03.2021 17:45,60736,60550
31.03.2021 17:45 - 31.03.2021 18:00,60882,60804
31.03.2021 18:00 - 31.03.2021 18:15,61213,60864
31.03.2021 18:15 - 31.03.2021 18:30,61892,60725
31.03.2021 18:30 - 31.03.2021 18:45,62005,61066
31.03.2021 18:45 - 31.03.2021 19:00,62209,61327
31.03.2021 19:00 - 31.03.2021 19:15,62832,61773
31.03.2021 19:15 - 31.03.2021 19:30,62783,61979
31.03.2021 19:30 - 31.03.2021 19:45,63145,62227
31.03.2021 19:45 - 31.03.2021 20:00,63040,62436
31.03.2021 20:00 - 31.03.2021 20:15,62439,62759
31.03.2021 20:15 - 31.03.2021 20:30,61474,63032
31.03.2021 20:30 - 31.03.2021 20:45,60677,62546
31.03.2021 20:45 - 31.03.2021 21:00,59959,61887
31.03.2021 21:00 - 31.03.2021 21:15,59067,60693
31.03.2021 21:15 - 31.03.2021 21:30,58469,59795
31.03.2021 21:30 - 31.03.2021 21:45,57346,58969
31.03.2021 21:45 - 31.03.2021 22:00,56926,57791
31.03.2021 22:00 - 31.03.2021 22:15,56624,57013
31.03.2021 22:15 - 31.03.2021 22:30,55959,56244
31.03.2021 22:30 - 31.03.2021 22:45,55351,55248
31.03.2021 22:45 - 31.03.2021 23:00,54365,54392
31.03.2021 23:00 - 31.03.2021 23:15,53242,52963
31.03.2021 23:15 - 31.03.2021 23:30,52361,51666
31.03.2021 23:30 - 31.03.2021 23:45,51504,51078
31.03.2021 23:45 - 01.04.2021 00:00,50899,50365
01.04.2021 00:00 - 01.04.2021 00:15,48153,48989
01.04.2021 00:15 - 01.04.2021 00:30,47417,48300
01.04.2021 00:30 - 01.04.2021 00:45,47034,47746
01.04.2021 00:45 - 01.04.2021 01:00,46671,47190
01.04.2021 01:00 - 01.04.2021 01:15,46159,46137
01.04.2021 01:15 - 01.04.2021 01:30,45617,45805
01.04.2021 01:30 - 01.04.2021 01:45,45300,45552
01.04.2021 01:45 - 01.04.2021 02:00,45159,45467
01.04.2021 02:00 - 01.04.2021 02:15,45028,44875
01.04.2021 02:15 - 01.04.2021 02:30,44975,44961
01.04.2021 02:30 - 01.04.2021 02:45,45055,44906
01.04.2021 02:45 - 01.04.2021 03:00,45179,45130
01.04.2021 03:00 - 01.04.2021 03:15,44975,44879
01.04.2021 03:15 - 01.04.2021 03:30,45156,45014
01.04.2021 03:30 - 01.04.2021 03:45,45229,45289
01.04.2021 03:45 - 01.04.2021 04:00,45465,45559
01.04.2021 04:00 - 01.04.2021 04:15,45647,46008
01.04.2021 04:15 - 01.04.2021 04:30,46253,46749
01.04.2021 04:30 - 01.04.2021 04:45,46510,47267
01.04.2021 04:45 - 01.04.2021 05:00,47265,47710
01.04.2021 05:00 - 01.04.2021 05:15,48079,48864
01.04.2021 05:15 - 01.04.2021 05:30,48742,49280
01.04.2021 05:30 - 01.04.2021 05:45,49433,50320
01.04.2021 05:45 - 01.04.2021 06:00,50533,51983
01.04.2021 06:00 - 01.04.2021 06:15,53059,54847
01.04.2021 06:15 - 01.04.2021 06:30,54494,55999
01.04.2021 06:30 - 01.04.2021 06:45,55439,57337
01.04.2021 06:45 - 01.04.2021 07:00,56557,58318
01.04.2021 07:00 - 01.04.2021 07:15,58188,59933
01.04.2021 07:15 - 01.04.2021 07:30,59385,60847
01.04.2021 07:30 - 01.04.2021 07:45,60118,61631
01.04.2021 07:45 - 01.04.2021 08:00,60649,62691
01.04.2021 08:00 - 01.04.2021 08:15,61479,63568
01.04.2021 08:15 - 01.04.2021 08:30,61923,64209
01.04.2021 08:30 - 01.04.2021 08:45,62386,64826
01.04.2021 08:45 - 01.04.2021 09:00,62895,65138
01.04.2021 09:00 - 01.04.2021 09:15,62365,64823
01.04.2021 09:15 - 01.04.2021 09:30,62733,65168
01.04.2021 09:30 - 01.04.2021 09:45,63265,65568
01.04.2021 09:45 - 01.04.2021 10:00,63410,66280
01.04.2021 10:00 - 01.04.2021 10:15,63203,66357
01.04.2021 10:15 - 01.04.2021 10:30,63629,66627
01.04.2021 10:30 - 01.04.2021 10:45,63817,66893
01.04.2021 10:45 - 01.04.2021 11:00,64126,66936
01.04.2021 11:00 - 01.04.2021 11:15,64716,67340
01.04.2021 11:15 - 01.04.2021 11:30,65161,67623
01.04.2021 11:30 - 01.04.2021 11:45,65294,68048
01.04.2021 11:45 - 01.04.2021 12:00,65752,67903
01.04.2021 12:00 - 01.04.2021 12:15,65461,67313
01.04.2021 12:15 - 01.04.2021 12:30,65181,67214
01.04.2021 12:30 - 01.04.2021 12:45,64996,67407
01.04.2021 12:45 - 01.04.2021 13:00,65276,66862
01.04.2021 13:00 - 01.04.2021 13:15,64672,66486
01.04.2021 13:15 - 01.04.2021 13:30,64298,65965
01.04.2021 13:30 - 01.04.2021 13:45,63543,65443
01.04.2021 13:45 - 01.04.2021 14:00,62850,65192
01.04.2021 14:00 - 01.04.2021 14:15,62618,64848
01.04.2021 14:15 - 01.04.2021 14:30,62291,64638
01.04.2021 14:30 - 01.04.2021 14:45,62347,64417
01.04.2021 14:45 - 01.04.2021 15:00,62406,63697
01.04.2021 15:00 - 01.04.2021 15:15,62039,63564
01.04.2021 15:15 - 01.04.2021 15:30,61558,63433
01.04.2021 15:30 - 01.04.2021 15:45,61280,62575
01.04.2021 15:45 - 01.04.2021 16:00,60883,62248
01.04.2021 16:00 - 01.04.2021 16:15,60820,62439
01.04.2021 16:15 - 01.04.2021 16:30,60212,62162
01.04.2021 16:30 - 01.04.2021 16:45,59945,61617
01.04.2021 16:45 - 01.04.2021 17:00,59720,61615
01.04.2021 17:00 - 01.04.2021 17:15,59910,61871
01.04.2021 17:15 - 01.04.2021 17:30,59860,62038
01.04.2021 17:30 - 01.04.2021 17:45,59944,62047
01.04.2021 17:45 - 01.04.2021 18:00,60177,61677
01.04.2021 18:00 - 01.04.2021 18:15,60259,61780
01.04.2021 18:15 - 01.04.2021 18:30,60610,61745
01.04.2021 18:30 - 01.04.2021 18:45,60705,61757
01.04.2021 18:45 - 01.04.2021 19:00,60849,62055
01.04.2021 19:00 - 01.04.2021 19:15,61205,62095
01.04.2021 19:15 - 01.04.2021 19:30,61263,61688
01.04.2021 19:30 - 01.04.2021 19:45,61435,61672
01.04.2021 19:45 - 01.04.2021 20:00,61440,61593
01.04.2021 20:00 - 01.04.2021 20:15,60672,61563
01.04.2021 20:15 - 01.04.2021 20:30,59881,61252
01.04.2021 20:30 - 01.04.2021 20:45,59057,60916
01.04.2021 20:45 - 01.04.2021 21:00,58563,60214
01.04.2021 21:00 - 01.04.2021 21:15,57565,59115
01.04.2021 21:15 - 01.04.2021 21:30,56795,58178
01.04.2021 21:30 - 01.04.2021 21:45,55787,56900
01.04.2021 21:45 - 01.04.2021 22:00,55315,55980
01.04.2021 22:00 - 01.04.2021 22:15,55199,55357
01.04.2021 22:15 - 01.04.2021 22:30,54480,54391
01.04.2021 22:30 - 01.04.2021 22:45,53698,53273
01.04.2021 22:45 - 01.04.2021 23:00,52629,52327
01.04.2021 23:00 - 01.04.2021 23:15,51587,51106
01.04.2021 23:15 - 01.04.2021 23:30,50419,50138
01.04.2021 23:30 - 01.04.2021 23:45,49655,49309
01.04.2021 23:45 - 02.04.2021 00:00,49065,48410
02.04.2021 00:00 - 02.04.2021 00:15,43123,47206
02.04.2021 00:15 - 02.04.2021 00:30,42831,46258
02.04.2021 00:30 - 02.04.2021 00:45,42439,45932
02.04.2021 00:45 - 02.04.2021 01:00,42112,45354
02.04.2021 01:00 - 02.04.2021 01:15,41599,44844
02.04.2021 01:15 - 02.04.2021 01:30,41018,44084
02.04.2021 01:30 - 02.04.2021 01:45,40739,43951
02.04.2021 01:45 - 02.04.2021 02:00,40235,43734
02.04.2021 02:00 - 02.04.2021 02:15,40164,43015
02.04.2021 02:15 - 02.04.2021 02:30,40295,42972
02.04.2021 02:30 - 02.04.2021 02:45,40102,42782
02.04.2021 02:45 - 02.04.2021 03:00,40193,42747
02.04.2021 03:00 - 02.04.2021 03:15,39938,42500
02.04.2021 03:15 - 02.04.2021 03:30,40042,42566
02.04.2021 03:30 - 02.04.2021 03:45,40113,42653
02.04.2021 03:45 - 02.04.2021 04:00,40153,42630
02.04.2021 04:00 - 02.04.2021 04:15,40062,42913
02.04.2021 04:15 - 02.04.2021 04:30,40232,42815
02.04.2021 04:30 - 02.04.2021 04:45,40016,42923
02.04.2021 04:45 - 02.04.2021 05:00,40578,42724
02.04.2021 05:00 - 02.04.2021 05:15,40838,42497
02.04.2021 05:15 - 02.04.2021 05:30,40315,42451
02.04.2021 05:30 - 02.04.2021 05:45,40388,42311
02.04.2021 05:45 - 02.04.2021 06:00,40082,42031
02.04.2021 06:00 - 02.04.2021 06:15,40181,42424
02.04.2021 06:15 - 02.04.2021 06:30,40535,42676
02.04.2021 06:30 - 02.04.2021 06:45,40531,42645
02.04.2021 06:45 - 02.04.2021 07:00,40723,42538
02.04.2021 07:00 - 02.04.2021 07:15,41171,42974
02.04.2021 07:15 - 02.04.2021 07:30,41860,43487
02.04.2021 07:30 - 02.04.2021 07:45,42083,44300
02.04.2021 07:45 - 02.04.2021 08:00,42354,45062
02.04.2021 08:00 - 02.04.2021 08:15,43255,46190
02.04.2021 08:15 - 02.04.2021 08:30,43753,46916
02.04.2021 08:30 - 02.04.2021 08:45,44491,48024
02.04.2021 08:45 - 02.04.2021 09:00,45486,48902
02.04.2021 09:00 - 02.04.2021 09:15,45724,49779
02.04.2021 09:15 - 02.04.2021 09:30,46696,50823
02.04.2021 09:30 - 02.04.2021 09:45,47427,51613
02.04.2021 09:45 - 02.04.2021 10:00,47848,52544
02.04.2021 10:00 - 02.04.2021 10:15,48272,53323
02.04.2021 10:15 - 02.04.2021 10:30,49158,54081
02.04.2021 10:30 - 02.04.2021 10:45,49336,54645
02.04.2021 10:45 - 02.04.2021 11:00,50156,55189
02.04.2021 11:00 - 02.04.2021 11:15,50910,55207
02.04.2021 11:15 - 02.04.2021 11:30,51367,56154
02.04.2021 11:30 - 02.04.2021 11:45,51694,56608
02.04.2021 11:45 - 02.04.2021 12:00,52013,56772
02.04.2021 12:00 - 02.04.2021 12:15,51855,56445
02.04.2021 12:15 - 02.04.2021 12:30,51769,56288
02.04.2021 12:30 - 02.04.2021 12:45,51327,56547
02.04.2021 12:45 - 02.04.2021 13:00,51449,55932
02.04.2021 13:00 - 02.04.2021 13:15,50264,55737
02.04.2021 13:15 - 02.04.2021 13:30,49756,54746
02.04.2021 13:30 - 02.04.2021 13:45,49050,53983
02.04.2021 13:45 - 02.04.2021 14:00,48562,53296
02.04.2021 14:00 - 02.04.2021 14:15,47980,52972
02.04.2021 14:15 - 02.04.2021 14:30,47528,52509
02.04.2021 14:30 - 02.04.2021 14:45,47429,52349
02.04.2021 14:45 - 02.04.2021 15:00,47561,52055
02.04.2021 15:00 - 02.04.2021 15:15,47159,51988
02.04.2021 15:15 - 02.04.2021 15:30,46867,51816
02.04.2021 15:30 - 02.04.2021 15:45,46978,51400
02.04.2021 15:45 - 02.04.2021 16:00,47033,51198
02.04.2021 16:00 - 02.04.2021 16:15,47009,51036
02.04.2021 16:15 - 02.04.2021 16:30,46727,51085
02.04.2021 16:30 - 02.04.2021 16:45,46671,50920
02.04.2021 16:45 - 02.04.2021 17:00,46734,50940
02.04.2021 17:00 - 02.04.2021 17:15,47063,51332
02.04.2021 17:15 - 02.04.2021 17:30,47331,51563
02.04.2021 17:30 - 02.04.2021 17:45,47606,51645
02.04.2021 17:45 - 02.04.2021 18:00,48056,51962
02.04.2021 18:00 - 02.04.2021 18:15,48944,52777
02.04.2021 18:15 - 02.04.2021 18:30,49334,53126
02.04.2021 18:30 - 02.04.2021 18:45,49899,53190
02.04.2021 18:45 - 02.04.2021 19:00,50054,53492
02.04.2021 19:00 - 02.04.2021 19:15,50661,54041
02.04.2021 19:15 - 02.04.2021 19:30,50211,53897
02.04.2021 19:30 - 02.04.2021 19:45,50705,53850
02.04.2021 19:45 - 02.04.2021 20:00,50549,53707
02.04.2021 20:00 - 02.04.2021 20:15,50026,53866
02.04.2021 20:15 - 02.04.2021 20:30,49439,54056
02.04.2021 20:30 - 02.04.2021 20:45,49456,53351
02.04.2021 20:45 - 02.04.2021 21:00,49290,52644
02.04.2021 21:00 - 02.04.2021 21:15,48392,51928
02.04.2021 21:15 - 02.04.2021 21:30,48168,51317
02.04.2021 21:30 - 02.04.2021 21:45,47855,50968
02.04.2021 21:45 - 02.04.2021 22:00,47847,50763
02.04.2021 22:00 - 02.04.2021 22:15,47789,50597
